dataset,num_components,train_size,test_size,vector_size,g_mean,kappa
DJ30-D1.arff,10,100,200,4,0.982399568484355,0.96988662376777
DJ30-D1.arff,10,100,200,5,0.984574397777779,0.972983750014141
DJ30-D1.arff,10,100,200,6,0.985592441570016,0.973853750476543
GAS-D1.arff,10,20,50,2,0.796900350437337,0.807841265558241
GAS-D1.arff,10,20,50,3,0.80347882684503,0.84249810874323
GAS-D1.arff,10,20,50,4,0.798587137761062,0.846555739294189
GAS-D1.arff,10,20,50,5,0.816106411678071,0.855378398224785
GAS-D1.arff,10,20,50,6,0.805832106792937,0.839686261810475
GAS-D1.arff,10,20,100,2,0.794825717900454,0.830581137911726
GAS-D1.arff,10,20,100,3,0.799458822852316,0.830188413311106
GAS-D1.arff,10,20,100,4,0.812683899785162,0.849193412272355
GAS-D1.arff,10,20,100,5,0.816987982198781,0.857466892760725
GAS-D1.arff,10,20,100,6,0.79731698151847,0.831742656396119
GAS-D1.arff,10,20,200,2,0.807334612804572,0.810383309456108
GAS-D1.arff,10,20,200,3,0.805453720064594,0.842350582532166
GAS-D1.arff,10,20,200,4,0.807853211112915,0.843966653764753
GAS-D1.arff,10,20,200,5,0.814623321106163,0.816969731273715
GAS-D1.arff,10,20,200,6,0.804264855747568,0.83290047306519
GAS-D1.arff,10,50,50,2,0.802821189916576,0.823466940212474
GAS-D1.arff,10,50,50,3,0.790003332093095,0.823586141582022
GAS-D1.arff,10,50,50,4,0.808376181537446,0.802933603037667
GAS-D1.arff,10,50,50,5,0.808556776269685,0.846192275900919
GAS-D1.arff,10,50,50,6,0.79962020034804,0.818238418170917
GAS-D1.arff,10,50,100,2,0.805709247681694,0.834978523373443
GAS-D1.arff,10,50,100,3,0.811411466102847,0.844329223701086
GAS-D1.arff,10,50,100,4,0.811897724606483,0.84119613151549
GAS-D1.arff,10,50,100,5,0.797197144417271,0.801646861674055
GAS-D1.arff,10,50,100,6,0.812266942577896,0.813545895526575
GAS-D1.arff,10,50,200,2,0.808002385572929,0.843016127003633
GAS-D1.arff,10,50,200,3,0.802292157586903,0.836745365282121
GAS-D1.arff,10,50,200,4,0.797911180827675,0.826558912684536
GAS-D1.arff,10,50,200,5,0.808380738283631,0.842700158675615
GAS-D1.arff,10,50,200,6,0.803921103359761,0.828911226949862
GAS-D1.arff,10,100,50,2,0.801464698372681,0.822274122136565
GAS-D1.arff,10,100,50,3,0.810551947670873,0.842800991731737
GAS-D1.arff,10,100,50,4,0.817905750111745,0.844273694004492
GAS-D1.arff,10,100,50,5,0.808561271180497,0.847374984072382
GAS-D1.arff,10,100,50,6,0.806193010859334,0.833290342274176
GAS-D1.arff,10,100,100,2,0.808357836931149,0.843847724881813
GAS-D1.arff,10,100,100,3,0.812536024265738,0.842910490099317
GAS-D1.arff,10,100,100,4,0.813164955605346,0.842234007062504
GAS-D1.arff,10,100,100,5,0.802374463224184,0.873706379777851
GAS-D1.arff,10,100,100,6,0.802618425434357,0.827177245635675
GAS-D1.arff,10,100,200,2,0.813344589264842,0.844265487381863
GAS-D1.arff,10,100,200,3,0.815911297216509,0.849586448728679
GAS-D1.arff,10,100,200,4,0.819894597530087,0.856004654901307
GAS-D1.arff,10,100,200,5,0.81125238657077,0.8286784896607
GAS-D1.arff,10,100,200,6,0.809594738750118,0.845847009865571
TAGS-D1.arff,10,20,50,2,0.701267440562743,0.46855984562291
TAGS-D1.arff,10,20,50,3,0.706175915030733,0.470848331946261
TAGS-D1.arff,10,20,50,4,0.702732788573569,0.466112879876004
TAGS-D1.arff,10,20,50,5,0.705000262633356,0.471512327476794
TAGS-D1.arff,10,20,50,6,0.70380865609624,0.469684541083274
TAGS-D1.arff,10,20,100,2,0.69807366552906,0.459873135619497
TAGS-D1.arff,10,20,100,3,0.696522288776197,0.460720849427182
TAGS-D1.arff,10,20,100,4,0.697397626755151,0.46174749316101
TAGS-D1.arff,10,20,100,5,0.697094560117117,0.460022061240835
TAGS-D1.arff,10,20,100,6,0.697862679222274,0.461065991330731
TAGS-D1.arff,10,20,200,2,0.693916878427179,0.454807620947539
TAGS-D1.arff,10,20,200,3,0.691129063062214,0.449837003642357
TAGS-D1.arff,10,20,200,4,0.691747404691527,0.451322776926167
TAGS-D1.arff,10,20,200,5,0.688845221592903,0.451999729184516
TAGS-D1.arff,10,20,200,6,0.686725566633787,0.449702086749892
TAGS-D1.arff,10,50,50,2,0.7091823057515,0.440606984849665
TAGS-D1.arff,10,50,50,3,0.708560605664885,0.437714269372796
TAGS-D1.arff,10,50,50,4,0.711004161710713,0.442915418822961
